	Si+	C_7H_7+	C_6H_10NO+	C_6H_10N_3+
	27.9727	91.0573	112.0785	124.0776
Sputter Time (s)	Intensity	Intensity	Intensity	Intensity	
1.6384	20.0122	26940.8	13.0243	15.0415	
4.9152	5.00107	30027.1	1.00187	19.0676	
8.1920	1.00009	30984.1	6.01284	21.0931	
11.4688	0	30781.8	8.02191	13.05	
14.7456	0	31393.2	5.00816	14.0494	
18.0224	0	31130.3	4.00979	14.0545	
21.2992	0	31813.6	4.00826	12.0484	
24.5760	0	31061.9	8.01529	21.0813	
27.8528	0	31154.7	6.0088	14.0602	
31.1296	0	30553.7	8.01688	17.0706	
34.4064	0	31345.6	5.01141	21.0758	
37.6832	1.00009	31459.1	3.00394	14.0583	
40.9600	0	31166.6	1.00236	16.0693	
44.2368	0	31471.6	3.00437	13.0486	
47.5136	0	31187.5	3.00615	11.035	
50.7904	0	30744.5	5.01037	16.06	
54.0672	0	31477.8	5.01104	12.0527	
57.3440	0	31404.7	7.01735	21.0841	
60.6208	1.00003	31069	3.00413	19.0784	
63.8976	0	31178.4	5.0089	15.0624	
67.1744	0	30376.6	3.0048	24.1158	
70.4512	0	31193.1	10.0209	10.0385	
73.7280	0	31353.3	3.0056	14.0437	
77.0048	0	31032.4	2.00385	17.0558	
80.2816	0	30881.9	1.00205	19.0854	
83.5584	0	30961.2	7.01269	17.0735	
86.8352	0	31522.8	5.0108	13.0556	
90.1120	0	31285.1	2.00336	14.0662	
93.3888	1.00003	31136.3	4.00826	12.0434	
96.6656	0	31380.4	3.00645	19.078	
99.9424	0	31210.1	3.00419	18.0645	
103.2192	0	30971	5.00792	13.0489	
106.4960	0	31423.9	4.00746	23.0902	
109.7728	0	31299.9	6.0161	17.078	
113.0496	0	31482.3	1.00162	15.055	
116.3264	0	31206.5	11.0182	12.0476	
119.6032	0	30656.1	4.00967	11.0419	
122.8800	0	31069.8	7.01361	14.0453	
126.1568	0	31397.7	5.00841	8.02431	
129.4336	1.00009	30545.7	5.01092	17.0576	
132.7104	0	31472.5	4.00673	15.0406	
135.9872	0	31235.1	6.01493	10.0328	
139.2640	0	31231.5	3.00572	15.0642	
142.5408	0	31160.3	6.01364	15.0712	
145.8176	0	31387.3	3.00388	19.0711	
149.0944	0	31435	5.00871	17.0651	
152.3712	0	31394.3	7.01391	11.0373	
