time	total	28	69	91
0.0000	7.27395e+006	29.0012	4604.08	1.58674e+006
3.0000	6.32423e+006	4.00003	1876.61	1.18496e+006
6.0000	4.54557e+006	4.00004	1163.85	730767
9.0000	4.02982e+006	4.00006	958.205	657205
12.0000	4.03207e+006	2	949.238	653117
15.0000	3.73633e+006	2.00001	846.972	608298
18.0000	3.79565e+006	2.00001	920.172	621198
21.0000	3.72313e+006	3.00001	865.001	609078
24.0000	3.79185e+006	2	905.137	624646
27.0000	3.81792e+006	3.00002	938.186	629655
30.0000	3.63634e+006	1.00001	904.107	596236
33.0000	3.5615e+006	1.00001	842.981	583341
36.0000	3.33449e+006	2.00001	794.861	547220
39.0000	3.21762e+006	1.00001	836.955	529525
42.0000	3.45363e+006	4.00005	4635.3	560362
45.0000	4.05201e+006	31.0012	40108.7	522319
48.0000	6.66893e+006	76.0079	161537	499530
51.0000	8.11231e+006	129.021	280059	293091
54.0000	1.02736e+007	200.055	424904	181162
57.0000	1.05663e+007	218.062	470280	122436
60.0000	9.92552e+006	181.044	445235	99028.1
63.0000	1.33738e+007	237.076	597380	137113
66.0000	1.37479e+007	279.101	493370	127323
69.0000	6.83317e+006	2939.73	171553	68563.3
72.0000	1.9792e+006	24632.9	42680	21865.9
75.0000	341111	35777.2	2536.33	2280.39
78.0000	163759	26251.4	269.823	307.283
81.0000	132958	20991.3	121.325	108.055
84.0000	121620	18091.7	84.2082	62.0228
87.0000	103446	14558.1	47.0885	32.0091
90.0000	95055	12629.6	39.0626	25.0052
93.0000	98997	12823	41.0654	20.0038
96.0000	80348	9963.07	30.0342	25.0044
