time	total	12	13	16	17	19	24	25	26	27	27.9	28	31	32	35	35	36	37	38	39.01	39.02	40	40	41	42	43	44	44	45	48	49	50	50	51	52	52	53	53	55	56.1	57	57	58	59	59	60	60	61	62	63	64	64	65	65	66	67	68	68.1	69	69	70	71	72	73	74	75	76	77	77	77	78	78	79	79.1	80.1	81	84	85	86	87	89	89	91	95	96	97	98	103	103.1	108	109	111	113	115	115.1	117	119	121	129	129.1	133.1	135.9	141	145.1	148.1	149.1	157.1	159.1	162.1	163.1	167	175.1	181.1	188.1	189.1	199.1	205.2	215.1	231.2	245.2	257.2	277.2	296	302.2	316.2	330.2	344.2	358.3	373.3	401.3	417.3	429.3	455.3	465.3	523.3	563.4	579.4	607.4	619.4	635.5	915.6	1063.7	1119.7	1175.8
0	3.59E+06	27104.8	66544.1	32245	61041.8	170.047	31312.1	160202	203003	2323.68	10.0005	3046.22	137.051	176.056	3493.36	453.815	11188.3	9434.44	8691.37	4889.05	9931.08	3309.69	33442	193951	277202	15242.7	77.0467	3287.87	908.573	10227.6	57344.5	14187.3	5784.69	8398.5	2267.57	3946.97	1886.7	714.169	1147.4	1071.28	2960.52	1606.17	921.571	1603.65	2598.63	91.04	5343.05	7817.36	14456.3	9736.39	1146.7	5484.93	19619.6	7313.96	5143.54	3114.29	2051.72	3295.9	738.143	711.385	11601	634.945	3650.98	22863.6	7431.73	5004.91	35.0112	114.045	991.772	1067.99	46.0132	1849.14	1797.11	1239.16	1055.33	7417.15	1986.34	3241.06	7034.4	6673.34	5319.77	4021.63	4241.35	192.19	1175.04	7784.77	2464.98	739.034	1031.03	530.981	1117.92	2684.44	2288.41	1532.1	1340.03	2350.1	3299.31	1968.1	1015.3	1010.75	2055.56	42.0244	1209.47	1964.93	817.491	2058.62	4778.64	10024.3	677.461	707.218	1003.02	23017.1	965.219	1786.49	5588.99	11706.7	13541.6	34104.7	317698	5366.87	1832.2	1114.18	197.164	3186.42	3158.06	2766.86	5747.09	2475.4	2884.29	1817.58	1282.46	3999.16	314.35	79.0669	351.704	486.245	8575.15	284.471	6248.11	229627	8.00048	12.0008	1.00001	1
2	3.20E+06	23246.1	58964.2	28266.1	50550.2	515.5	25956.1	126202	143912	1670.01	5.00032	2129.29	111.036	79.0187	310.229	40.0554	8102.05	6845.3	6120.43	4265.81	6810.69	3363.52	23217.2	139862	194964	10144.4	315.313	2336.91	509.676	7438.83	39943.1	10213.7	4121.19	5563.06	1913.93	2617.85	1265.24	516.654	748.068	753.737	1957.61	1162.2	5125.42	1871.15	2257.64	574.673	3839.82	5460.75	7824.77	6249.41	1143.35	3453.9	13326.2	4881.71	3523.35	2065.24	1474.96	2298.57	535.805	467.818	8180.75	770.667	2824.22	15506.6	5091.27	3286.2	115.05	154.071	759.985	738.665	132.049	1231.67	1211.03	793.493	719.987	5072.55	1668.96	2241.95	4551.46	4272.2	3650.85	2688.74	2756.13	189.157	978.425	5542.65	1684.6	632.628	721.626	416.802	795.509	1756.35	1477.95	1259.98	937.253	1614.85	2397.84	1407.24	796.686	691.055	1448.14	40.0156	885.144	1464.44	591.002	1471.72	3424.04	6987.81	558.411	534.313	1469.24	16330.3	686.875	1371.88	4246.71	7963.48	9143.76	23249.8	226237	4241.17	1419.15	3438.57	1373.04	2262.7	2369.87	2057.56	3840.92	1783.4	2048.82	1290.41	1429.18	2432.52	225.253	172.16	576.556	889.501	8288.06	302.541	5566.2	135433	17.0026	38.0057	9.00042	17.0013
4	3.15E+06	23966.3	60148.4	29870	51877.9	499.469	27263.6	129913	146600	1712.58	1.00004	2271.14	129.049	98.0215	132.039	23.0132	8837.13	7192.07	6432.16	4310.79	7151.79	2848.38	22837.2	139930	195774	10272.4	174.113	2469.15	449.479	8032.35	42209.5	9875.41	4916.86	5830.37	1745.74	2753.82	1306.15	506.572	795.91	828.865	1946.13	1245.77	3277.6	1670.44	2312.47	314.234	4120.16	5747.88	8463.17	6922.95	1091.35	3488.08	13372.3	5148.41	3413.07	2243.99	1483.87	2238.89	463.584	504.808	8006.38	644.08	3040.25	17213.5	5686.08	3518.91	80.0242	131.048	719.561	778.507	95.0282	1253.07	1190.2	888.827	728.774	5200.65	1647.93	2475.5	4820.4	4561.6	3888.1	2884.12	2861.57	185.142	1037.23	5840.47	1890.03	579.243	725.156	443.743	906.7	1852.41	1613.49	1197.17	900.413	1747.87	2667.12	1527.84	799.339	771.171	1564.4	49.016	836.521	1478.87	627.109	1562.18	3408.32	7380.13	572.49	555.321	1529.03	16957.2	744.023	1483.43	4416.26	8390.3	8996.22	23973.8	225204	4298.2	1435.67	3674.66	1373.56	2449.18	2486.5	2088.12	3893.72	1861.96	2031.91	1373.41	1478.93	2194.48	215.215	165.138	671.725	1010.95	8744.6	301.63	6170.74	128344	26.0045	26.0039	11.0011	15.0013
6	3.10E+06	24192.4	59765	29362.8	51476.5	548.519	27277.2	128406	145004	1692.01	3.00015	2172.17	141.049	81.0169	105.022	19.0086	8585.02	7224.65	6285.93	4230	6934.92	2734.03	23045.2	138232	194332	10125	173.104	2418.45	428.474	8057.16	41356.5	10153.3	4660.59	5731.95	1732.15	2832.2	1273.89	482.241	804.024	791.664	2001.77	1267.35	3138.17	1619.86	2273.13	290.207	4123.37	5604.05	8217.24	6751.46	1074.13	3402.54	13269.9	5116.94	3505.96	2196.5	1490.81	2178.59	459.574	483.706	7873.91	641.992	3033.86	17168.7	5462.24	3541.3	72.0225	88.0264	734.548	763.304	75.0176	1236.14	1201.32	862.57	747.768	5163.41	1658.12	2440.32	4986.75	4367.13	3809.72	2847.47	2804.06	164.125	962.871	5753.85	1843.87	570.13	668.812	446.739	922.717	1777.99	1616.16	1169.01	970.928	1650.98	2573.85	1535.03	784.315	791.355	1558.29	26.0108	878.77	1501.9	638.025	1582.21	3416.58	7502.9	587.409	568.292	1612.6	16936	742.979	1400.25	4525.39	8234.53	9061.69	24126.4	220585	4241.88	1419.73	3739.86	1425.81	2437.2	2479.53	2106.04	3977.63	1903.35	1944.07	1344.2	1498.12	2148.79	229.218	182.16	706.898	1062.25	8406.75	336.611	6094.46	124172	25.0049	25.0037	11.0012	19.002
8	3.04E+06	23245.9	57867.9	28244.3	49991.7	589.618	26147.6	123565	140081	1702.99	3.00016	2152.5	88.032	91.019	118.036	8.00427	8224.27	6782.04	5721.42	3920.64	6634.47	2790.02	22183.1	134010	188408	9707.8	217.16	2299.59	412.443	7326.05	38829.2	10015.2	3949.56	5366.9	1596.11	2530.94	1154.55	490.271	735.851	745.426	1919.31	1132.17	3800.04	1813.32	2149.3	393.351	3845.49	5307.32	7531.31	6074.91	973.152	3306.87	12711.3	4727.48	3380.77	2001.4	1284.22	2222.12	469.684	463.753	7822.33	636.07	2711.07	14928.9	5307.36	3245.76	94.0314	136.055	654.544	716.257	86.0238	1209.1	1121.39	758.778	698.679	4850.02	1571.08	2172.3	4463.57	3950.26	3574.64	2453.09	2651.73	165.118	990.317	5418.79	1682.31	537.107	688.927	406.667	781.468	1592.5	1465.4	1160.11	814.693	1648.87	2445.95	1374.49	769.395	687.815	1416.57	28.0097	813.584	1462.01	571.844	1477.71	3241.1	6992.41	558.319	530.279	1612.44	16180.2	656.719	1387.78	4306.74	8009.03	8819.58	23084.8	209872	4029.1	1392.85	3677.34	1506.75	2282.15	2366	1968.24	3730.17	1803.14	1914.49	1370.44	1518.52	2068.35	226.207	164.149	631.663	1016.13	8124.76	289.53	5628.9	117874	22.0042	25.0038	7.00054	18.0023
10	3.01E+06	22515.1	57086.4	27232.9	48698.3	618.716	25068	120288	134809	1646.38	5.00036	2002.39	121.054	78.0174	130.039	13.0076	7698.97	6442.59	5491.36	3914.66	6330.81	2834.83	21595.6	131132	181007	9218.32	257.208	2287.5	392.424	6949.85	36287	10070	3182.7	5092.49	1589.48	2486.22	1151.53	461.036	687.734	692.314	1786.09	991.54	4180.16	1945.32	2088.47	403.356	3423.8	4857.33	6891.7	5647.57	963.314	3253.31	12249	4301.06	3339.06	1708.23	1183.08	2134.35	466.646	493.931	7444.7	720.344	2424.07	13567.6	4843.62	2799.71	74.02	137.059	639.556	578.415	98.0312	1023.49	1018.13	750.792	664.619	4378.97	1424.49	1903.69	4255.82	3758.59	3209.79	2288.99	2264.23	169.129	850.973	5038.15	1563.45	509.186	636.86	337.534	719.341	1559.97	1373.14	1124.38	779.757	1594.7	2204.31	1333.83	730.279	594.222	1373.75	42.0164	839.755	1355.16	562.996	1408.58	3128.31	6685.32	535.276	506.188	1672.38	15544	601.406	1244.84	4155.16	7695	8457.38	22031.5	204306	3974.83	1268.08	3441.35	1666.29	2132.51	2268.33	1934.23	3633.98	1613.76	1826.19	1235.77	1424.8	2155.02	236.259	152.135	603.575	956.751	7692.06	306.54	5091.61	112842	19.0041	24.0036	9.00076	21.0025
12	2.96E+06	21987.9	55431.4	26813.6	46985.1	643.775	24685.1	117762	131153	1637.02	3.00021	1951.48	117.048	73.0133	102.028	15.0074	7793.5	6276.38	5545.42	3901.58	6248.22	2824.5	20957.8	127394	176340	8949.07	242.19	2231.16	409.488	6866.83	36852.3	9420.3	3638.22	5167.57	1554.75	2399.36	1087.39	481.164	657.555	733.284	1833.66	1070.12	4088.37	1796.31	2112.86	410.351	3497.69	4979.57	6987.22	5934.15	994.183	3029.48	11877.4	4370.67	3223.26	1811.93	1308.4	2071.11	438.576	447.596	7289.04	625.049	2490.37	14146.1	4861.32	2961.62	76.0231	135.052	697.65	686.978	98.0274	1095.6	1066.18	745.686	683.631	4474.08	1505.56	2077.29	4268.82	3776.34	3382.16	2382.93	2425.22	149.116	874.685	5002.96	1606.55	537.169	600.514	364.609	778.276	1563.83	1320.94	1133.03	815.709	1493.53	2235.98	1326.16	730.302	638.462	1389.19	24.0097	782.449	1321.58	561.806	1474.74	3022.09	6541.48	526.234	531.239	1914.62	15263.7	602.477	1273.82	4110.62	7496.98	8079.2	21565.4	200992	3913.81	1285.96	3685.8	1791.26	2084.08	2250	1820.12	3520.31	1695.27	1778.58	1251.79	1396.71	2005.04	217.215	182.189	612.48	992.927	7376.53	284.501	5244.64	110306	20.0031	19.003	14.0015	11.0012
14	2.95E+06	22337.4	55755	27413.7	47581.3	769.05	25670.7	119282	133367	1573.62	4.00016	1982.61	108.036	86.0161	136.042	25.015	7861.44	6512.12	5894.05	3815.89	6572.72	2521.73	21014.8	127425	176776	9489.89	202.126	2285.91	420.431	7501	38771	8957.94	4674.97	5359.27	1612.36	2451.86	1173.33	454.9	725.616	689.945	1775.51	1181.27	3108	1700.34	2272.73	303.224	3774.26	5226.57	7543.74	6352.97	893.123	3151.1	12346.1	4619.46	3110.78	1986.57	1281.61	2056.56	417.476	408.321	7259.71	646.039	2700.78	16042.3	5082.47	3210.04	59.0146	102.033	647.245	702.631	64.0145	1134.32	1106.79	746.368	669.358	4831.9	1466.44	2263.87	4482.89	4220.19	3567.42	2640.09	2583.86	112.063	872.496	5378.19	1644.8	553.029	646.598	380.558	771.041	1778.2	1446.39	1088.4	967.457	1574.39	2406.68	1385.67	724.1	658.384	1467.7	31.0103	771.239	1387.48	527.594	1451.69	3067.08	6609.34	566.16	520.117	2158.82	14811.2	642.552	1285.55	4089.72	7682.94	8250.23	21708	205652	4074.57	1358.9	4227.3	2105.1	2163.75	2229.73	1907.03	3697.04	1751.09	1898.5	1261.65	1469.79	2049.97	227.211	175.17	590.372	987.573	7785.37	278.493	5496.71	112822	17.0033	26.0045	6.00045	16.0013
16	2.93E+06	22645	55290.6	27541.7	48043.7	859.293	25527.8	118556	133238	1656.65	5.00029	2099.23	121.04	70.0107	188.068	21.0157	8039.77	6680.7	5909.56	3817.85	6667.21	2335.56	20898.1	126893	179141	9326.94	135.074	2335.94	462.493	7583.63	38890.3	8994.75	4736.71	5526.09	1545.8	2617.42	1212.37	447.89	739.664	674.87	1835.41	1166.91	2688.07	1829.07	2268.38	226.121	3959.83	5409.2	7665.15	6427.21	1006.54	3148.92	12134.8	4838.15	3180.41	1979.12	1258.16	2018.32	404.418	449.414	7169.39	656.995	2863.36	16280.2	5149.75	3304.75	60.0174	90.0273	690.33	741.896	42.0109	1085.96	1103.92	775.56	650.195	4799.85	1501.6	2334.41	4522.92	4249.74	3563.72	2626.02	2564.9	118.075	927.586	5511.08	1755.36	545.075	739.12	440.646	828.175	1762.13	1458.07	1139.73	907.183	1681.96	2478.85	1444.84	764.196	700.673	1420.29	17.0046	790.209	1469.66	554.712	1453.19	3020.53	6897.31	480.874	554.307	2642.1	15483.5	640.482	1399.31	4111.61	7845.6	8280.08	22101.7	206250	4064.88	1356.61	4692.39	2679.5	2102.77	2268.57	1930.83	3648.81	1713.42	1925.61	1324.79	1537.16	2049.7	218.216	183.165	594.374	1033.72	7848.2	289.511	5630.06	115306	22.0041	28.0037	10.0006	16.0014
